placette;fascine;type;espece;ID;numero;longueur touffe;largeur touffe;hauteur max feuille;nombre reprises;inflorescence;date;heure;operateur;remarques
1;1;helophyte;Carex nigra;CN1;1;4;3;14,5;NA;NA;20/09/2023;14:00;Benjamin;
1;1;helophyte;Carex nigra;CN2;2;4,5;4;19;NA;NA;20/09/2023;14:00;Benjamin;
1;1;helophyte;Carex nigra;CN3;3;5;4;18;NA;NA;20/09/2023;14:00;Benjamin;
1;1;helophyte;Carex nigra;CN4;4;3;3;18,5;NA;NA;20/09/2023;14:00;Benjamin;
1;1;helophyte;Carex nigra;CN5;5;5;2,5;15;NA;NA;20/09/2023;14:00;Benjamin;
1;1;helophyte;Carex nigra;CN6;6;4,5;3,5;22;NA;NA;20/09/2023;14:00;Benjamin;
1;1;helophyte;Carex nigra;CN7;7;3;2,5;22;NA;NA;20/09/2023;14:00;Benjamin;
1;1;helophyte;Carex nigra;CN8;8;3,5;2;17;NA;NA;20/09/2023;14:00;Benjamin;
1;1;helophyte;Carex nigra;CN9;9;3;2,5;23,5;NA;NA;20/09/2023;14:00;Benjamin;
1;2;helophyte;Carex nigra;CN10;1;7,5;4,5;19;NA;NA;20/09/2023;14:00;Benjamin;
1;2;helophyte;Carex nigra;CN11;2;3,5;3;20,5;NA;NA;20/09/2023;14:00;Benjamin;
1;2;helophyte;Carex nigra;CN12;3;4;3;20;NA;NA;20/09/2023;14:00;Benjamin;
1;2;helophyte;Carex nigra;CN13;4;6;4;26,5;NA;NA;20/09/2023;14:00;Benjamin;
1;2;helophyte;Carex nigra;CN14;5;4;3,5;19;NA;NA;20/09/2023;14:00;Benjamin;
1;2;helophyte;Carex nigra;CN15;6;4,5;3,5;21,5;NA;NA;20/09/2023;14:00;Benjamin;
1;2;helophyte;Carex nigra;CN16;7;5;4;21;NA;NA;20/09/2023;14:00;Benjamin;
1;2;helophyte;Carex nigra;CN17;8;4,5;3;21;NA;NA;20/09/2023;14:00;Benjamin;
1;2;helophyte;Carex nigra;CN18;9;3;2;19;NA;NA;20/09/2023;14:00;Benjamin;
2;3;helophyte;Eriophorum angustifolium;EA1;1;3,5;3;31,5;NA;NA;20/09/2023;14:30;Benjamin;
2;3;helophyte;Eriophorum angustifolium;EA2;2;4;3;29,5;NA;NA;20/09/2023;14:30;Benjamin;
2;3;helophyte;Eriophorum angustifolium;EA3;3;4,5;3;33,5;NA;NA;20/09/2023;14:30;Benjamin;
2;3;helophyte;Eriophorum angustifolium;EA4;4;2;0,5;28,5;NA;NA;20/09/2023;14:30;Benjamin;
2;3;helophyte;Eriophorum angustifolium;EA5;5;1,5;1,5;30;NA;NA;20/09/2023;14:30;Benjamin;
2;3;helophyte;Eriophorum angustifolium;EA6;6;3,5;2;28,5;NA;NA;20/09/2023;14:30;Benjamin;
2;3;helophyte;Eriophorum angustifolium;EA7;7;2,5;2;23;NA;NA;20/09/2023;14:30;Benjamin;
2;3;helophyte;Eriophorum angustifolium;EA8;8;2,5;2,5;26;NA;NA;20/09/2023;14:30;Benjamin;
2;3;helophyte;Eriophorum angustifolium;EA9;9;3;2;32;NA;NA;20/09/2023;14:30;Benjamin;
2;4;helophyte;Eriophorum angustifolium;EA10;1;3;2;30;NA;NA;20/09/2023;14:30;Benjamin;
2;4;helophyte;Eriophorum angustifolium;EA11;2;3,5;2;42;NA;NA;20/09/2023;14:30;Benjamin;
2;4;helophyte;Eriophorum angustifolium;EA12;3;5;3,5;28,5;NA;NA;20/09/2023;14:30;Benjamin;
2;4;helophyte;Eriophorum angustifolium;EA13;4;4,5;3,5;31,5;NA;NA;20/09/2023;14:30;Benjamin;
2;4;helophyte;Eriophorum angustifolium;EA14;5;4;2,5;17,5;NA;NA;20/09/2023;14:30;Benjamin;
2;4;helophyte;Eriophorum angustifolium;EA15;6;4;3;42;NA;NA;20/09/2023;14:30;Benjamin;
2;4;helophyte;Eriophorum angustifolium;EA16;7;4;3,5;38;NA;NA;20/09/2023;14:30;Benjamin;
2;4;helophyte;Eriophorum angustifolium;EA17;8;3;3;39,5;NA;NA;20/09/2023;14:30;Benjamin;
2;4;helophyte;Eriophorum angustifolium;EA18;9;2,5;2;38;NA;NA;20/09/2023;14:30;Benjamin;
3;5;helophyte;Carex nigra;CN19;1;4;2,5;21;NA;NA;20/09/2023;14:00;Stephanie;
3;5;helophyte;Carex nigra;CN20;2;4;2,5;22,5;NA;NA;20/09/2023;14:00;Stephanie;
3;5;helophyte;Carex nigra;CN21;3;2,5;3;22;NA;NA;20/09/2023;14:00;Stephanie;
3;5;helophyte;Carex nigra;CN22;4;3;3,5;24,5;NA;NA;20/09/2023;14:00;Stephanie;
3;5;helophyte;Carex nigra;CN23;5;3;2;18,5;NA;NA;20/09/2023;14:00;Stephanie;
3;5;helophyte;Carex nigra;CN24;6;3,5;3;32;NA;NA;20/09/2023;14:00;Stephanie;
3;5;helophyte;Carex nigra;CN25;7;2,5;2,5;18;NA;NA;20/09/2023;14:00;Stephanie;
3;5;helophyte;Carex nigra;CN26;8;2;1,5;16;NA;NA;20/09/2023;14:00;Stephanie;
3;5;helophyte;Carex nigra;CN27;9;5;3,5;22;NA;NA;20/09/2023;14:00;Stephanie;
3;6;helophyte;Carex nigra;CN28;1;4;2;17,5;NA;NA;20/09/2023;14:00;Stephanie;
3;6;helophyte;Carex nigra;CN29;2;3,5;1,5;17;NA;NA;20/09/2023;14:00;Stephanie;
3;6;helophyte;Carex nigra;CN30;3;2,5;1;17;NA;NA;20/09/2023;14:00;Stephanie;
3;6;helophyte;Carex nigra;CN31;4;1,5;1,5;16;NA;NA;20/09/2023;14:00;Stephanie;
3;6;helophyte;Carex nigra;CN32;5;2,5;3;14,5;NA;NA;20/09/2023;14:00;Stephanie;
3;6;helophyte;Carex nigra;CN33;6;3;1,5;19,5;NA;NA;20/09/2023;14:00;Stephanie;
3;6;helophyte;Carex nigra;CN34;7;2,5;2;20,5;NA;NA;20/09/2023;14:00;Stephanie;
3;6;helophyte;Carex nigra;CN35;8;3;2,5;17,5;NA;NA;20/09/2023;14:00;Stephanie;
3;6;helophyte;Carex nigra;CN36;9;3;2;20,5;NA;NA;20/09/2023;14:00;Stephanie;
4;7;helophyte;Eriophorum angustifolium;EA19;1;3;2,5;26,5;NA;NA;20/09/2023;14:30;Stephanie;
4;7;helophyte;Eriophorum angustifolium;EA20;2;2;1,5;35;NA;NA;20/09/2023;14:30;Stephanie;
4;7;helophyte;Eriophorum angustifolium;EA21;3;3;2,5;41;NA;NA;20/09/2023;14:30;Stephanie;
4;7;helophyte;Eriophorum angustifolium;EA22;4;3;2;32;NA;NA;20/09/2023;14:30;Stephanie;
4;7;helophyte;Eriophorum angustifolium;EA23;5;3;2;30,5;NA;NA;20/09/2023;14:30;Stephanie;
4;7;helophyte;Eriophorum angustifolium;EA24;6;2,5;2;39;NA;NA;21/09/2023;9:30;Benjamin;
4;7;helophyte;Eriophorum angustifolium;EA25;7;3,5;2;30,5;NA;NA;20/09/2023;14:30;Stephanie;
4;7;helophyte;Eriophorum angustifolium;EA26;8;3;2;23;NA;NA;20/09/2023;14:30;Stephanie;
4;7;helophyte;Eriophorum angustifolium;EA27;9;2;1;32,5;NA;NA;20/09/2023;14:30;Stephanie;
4;8;helophyte;Eriophorum angustifolium;EA28;1;2;1;33;NA;NA;20/09/2023;14:30;Stephanie;
4;8;helophyte;Eriophorum angustifolium;EA29;2;3;3;31,5;NA;NA;20/09/2023;14:30;Stephanie;
4;8;helophyte;Eriophorum angustifolium;EA30;3;4;2,5;31;NA;NA;20/09/2023;14:30;Stephanie;
4;8;helophyte;Eriophorum angustifolium;EA31;4;3;2,5;38,5;NA;NA;20/09/2023;14:30;Stephanie;
4;8;helophyte;Eriophorum angustifolium;EA32;5;3;1;33,5;NA;NA;20/09/2023;14:30;Stephanie;
4;8;helophyte;Eriophorum angustifolium;EA33;6;3;2;43;NA;NA;20/09/2023;14:30;Stephanie;
4;8;helophyte;Eriophorum angustifolium;EA34;7;4,5;3;27;NA;NA;20/09/2023;14:30;Stephanie;
4;8;helophyte;Eriophorum angustifolium;EA35;8;3;3;47;NA;NA;20/09/2023;14:30;Stephanie;
4;8;helophyte;Eriophorum angustifolium;EA36;9;2,5;2;35;NA;NA;20/09/2023;14:30;Stephanie;
5;9;helophyte;Carex nigra;CN37;1;3,5;1,5;17;NA;NA;20/09/2023;15:00;Benjamin;
5;9;helophyte;Carex nigra;CN38;2;3;2,5;26;NA;NA;20/09/2023;15:00;Benjamin;
5;9;helophyte;Carex nigra;CN39;3;3;2,5;20,5;NA;NA;20/09/2023;15:00;Benjamin;
5;9;helophyte;Carex nigra;CN40;4;3;3;15;NA;NA;20/09/2023;15:00;Benjamin;
5;9;helophyte;Carex nigra;CN41;5;4;3;18;NA;NA;20/09/2023;15:00;Benjamin;
5;9;helophyte;Carex nigra;CN42;6;3;4;17;NA;NA;20/09/2023;15:00;Benjamin;
5;9;helophyte;Carex nigra;CN43;7;4,5;4;24;NA;NA;20/09/2023;15:00;Benjamin;
5;9;helophyte;Carex nigra;CN44;8;3;2;21;NA;NA;20/09/2023;15:00;Benjamin;
5;9;helophyte;Carex nigra;CN45;9;2,5;3;24;NA;NA;20/09/2023;15:00;Benjamin;
5;10;helophyte;Carex nigra;CN46;1;4;3;20;NA;NA;20/09/2023;15:00;Stephanie;
5;10;helophyte;Carex nigra;CN47;2;6;4,5;21;NA;NA;20/09/2023;15:00;Stephanie;
5;10;helophyte;Carex nigra;CN48;3;4;3;19,5;NA;NA;20/09/2023;15:00;Stephanie;
5;10;helophyte;Carex nigra;CN49;4;4;3,5;21;NA;NA;20/09/2023;15:00;Stephanie;
5;10;helophyte;Carex nigra;CN50;5;2,5;1;17,5;NA;NA;20/09/2023;15:00;Stephanie;
5;10;helophyte;Carex nigra;CN51;6;3,5;2;21;NA;NA;20/09/2023;15:00;Stephanie;
5;10;helophyte;Carex nigra;CN52;7;2,5;1,5;22;NA;NA;20/09/2023;15:00;Stephanie;
5;10;helophyte;Carex nigra;CN53;8;4;3;30;NA;NA;20/09/2023;15:00;Stephanie;
5;10;helophyte;Carex nigra;CN54;9;3;2;19;NA;NA;20/09/2023;15:00;Stephanie;
6;11;helophyte;Eriophorum angustifolium;EA37;1;3;4,5;30;NA;NA;20/09/2023;14:00;Alexis;
6;11;helophyte;Eriophorum angustifolium;EA38;2;5;0,5;20;NA;NA;20/09/2023;14:00;Alexis;
6;11;helophyte;Eriophorum angustifolium;EA39;3;3,5;2,5;39,5;NA;NA;20/09/2023;14:00;Alexis;
